Категория;Марка;Модель
bike;CFMOTO;450CL-C
bike;CFMOTO;450MT Sport
bike;CFMOTO;450MT Touring
bike;CFMOTO;450SR
bike;CFMOTO;650
bike;CFMOTO;650GT
bike;CFMOTO;650NK
bike;CFMOTO;700CL-X Adventure
bike;CFMOTO;700CL-X Heritage
bike;CFMOTO;700CL-X Sport
bike;CFMOTO;700MT
bike;CFMOTO;800
bike;CFMOTO;800MT
bike;CFMOTO;800MT Explore
bike;CFMOTO;800MT Sport
bike;CFMOTO;800MT Toring
bike;CFMOTO;800NK Advanced 
bike;CFMOTO;Cruz
bike;CFMOTO;V3
bike;CFMOTO;V5
bike;CHOPPER;1Z
bike;Cobra;Crossfire
bike;Cobra;CX
bike;Cobra;SRM
bike;Corrado;CR
bike;Corrado;Sensor
bike;CPI;SMX
bike;CPI;Supercross
bike;CPI;Supermoto
bike;Cronus;Enduro
bike;Cronus;Golden Eagle
bike;Cronus;Leader
bike;Cronus;Royal
bike;Cronus;Sport
bike;Cronus;Storm
bike;Cross;Alfarad
bike;Cross;GS 250
bike;Cyclone;RE401
bike;Cyclone;RG401
bike;Cyclone;RX401
bike;Cyclone;RX6
bike;Daelim;Daystar
bike;Daelim;Roadsport
bike;Daelim;Roadwin
bike;Daelim;VJF
bike;Daelim;VT
bike;DAHL;DB
bike;DAHL;DD
bike;DAHL;DJ
bike;Defiant;Carven
bike;Defiant;DT
bike;Defiant;Renspeed
bike;Derbi;Cross City
bike;Derbi;Dirt Boy
bike;Derbi;Dirt Kid
bike;Derbi;DRD
bike;Derbi;GPR
bike;Derbi;Mulhacen
bike;Derbi;Senda
bike;Derbi;Supermotard
bike;Derbi;Terra
bike;Derbi;X-Race
bike;Ducati;749
bike;Ducati;848
bike;Ducati;916
bike;Ducati;999
bike;Ducati;DesertX
bike;Ducati;Diavel
bike;Ducati;Diavel V4
bike;Ducati;Hypermotard
bike;Ducati;Monster
bike;Ducati;Multistrada
bike;Ducati;Scrambler
bike;Ducati;ST
bike;Ducati;Streetfighter
bike;Ducati;Superbike
bike;Ducati;Supersport
bike;Ducati;XDiavel
bike;Eagle-Wing;DB
bike;Eagle-Wing;PY
bike;Ekonika Roliz;Asterix
bike;Ekonika Roliz;Cross
bike;Ekonika Roliz;Ermak
bike;Ekonika Roliz;Optimus
bike;Ekonika Roliz;Phantom
bike;Ekonika Roliz;Sport
bike;EML;Zabel
bike;Eurotex;Dakota
bike;Excelsior-Henderson;Super X
bike;Factory Bike;Chrono
bike;Factory Bike;Desert
bike;Factory Bike;Mini Desert
bike;Factory Bike;Phantom
bike;Falcon;Speedfire
bike;Fosti;FXD
bike;Fuego;Scrambler 250
bike;Fuego;Tekken 250
bike;G-Max;Cruiser
bike;G-Max;Racer
bike;GAOKIN;GK1200
bike;GAOKIN;GK500 M11D
bike;GAOKIN;GK500 M11J
bike;GAOKIN;THOR 1000
bike;Gas Gas;EC
bike;Gas Gas;Halley
bike;Gas Gas;MC
bike;Gas Gas;Pampera
bike;Gas Gas;Raga Factory Replica
bike;Gas Gas;SM
bike;Gas Gas;TX
bike;Gas Gas;TXT
bike;Gilera;Coguar
bike;Gilera;Dakota
bike;Gilera;DNA
bike;Gilera;Saturno
bike;Gilera;Zulu
bike;GR;1
bike;GR;500
bike;Guowei;GW
bike;Harley-Davidson;Breakout
bike;Harley-Davidson;CVO
bike;Harley-Davidson;Dyna
bike;Harley-Davidson;Electra Glide
bike;Harley-Davidson;Fat Bob
bike;Harley-Davidson;Fat Boy
bike;Harley-Davidson;LiveWire
bike;Harley-Davidson;Pan America
bike;Harley-Davidson;Road Glide
bike;Harley-Davidson;Road King
bike;Harley-Davidson;Roadster
bike;Harley-Davidson;Softail
bike;Harley-Davidson;Sport Glide
bike;Harley-Davidson;Sportster
bike;Harley-Davidson;Street
bike;Harley-Davidson;Street Glide
bike;Harley-Davidson;Superlow
bike;Harley-Davidson;Touring
bike;Harley-Davidson;Trike
bike;Harley-Davidson;V-Rod
bike;Hasky;F6
bike;Hengjian;Z300 2T
bike;Hensim;HLX6
bike;Highland;350
bike;Highland;450
bike;Highland;507
bike;Highland;750
bike;Highland;950
bike;Highland;Allroad
bike;Highland;Desert Storm
bike;Highland;Dirt Trac
bike;Highland;Outback
bike;Highland;Super Motard
bike;Hiro;250
bike;Hisun;Vetturino
bike;Honda;ADV
bike;Honda;CB
bike;Honda;CBF
bike;Honda;CBR
bike;Honda;CL
bike;Honda;CMX
bike;Honda;CR
bike;Honda;CRF
bike;Honda;CRM
bike;Honda;CTX
bike;Honda;CX
bike;Honda;Deauville
bike;Honda;Degree
bike;Honda;DN
bike;Honda;FMX
bike;Honda;Fury
bike;Honda;FX650 Vigor
bike;Honda;Gold Wing
bike;Honda;Humming
bike;Honda;Magna
bike;Honda;MTX
bike;Honda;NC
bike;Honda;NSR
bike;Honda;NT
bike;Honda;NTV
bike;Honda;NX
bike;Honda;PC
bike;Honda;Rebel
bike;Honda;Rune
bike;Honda;RVT
bike;Honda;Shadow Slasher
bike;Honda;SLR
bike;Honda;ST
bike;Honda;Steed
